Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
11/14/2018,$0.46,Quarter,1.80%,+9.5%,9/19/2018,11/15/2018,12/13/2018,Details,813.44B,"$133,768","$8,873","32,252.00",MSFT
8/15/2018,$0.42,Quarter,1.60%,N/A,6/14/2018,8/16/2018,9/13/2018,Details,729.90B,"$132,270","$7,424","24,814.00",MSFT
5/16/2018,$0.42,Quarter,1.70%,N/A,3/13/2018,5/17/2018,6/14/2018,Details,724.24B,"$142,780","-$6,302","15,597.00",MSFT
2/14/2018,$0.42,Quarter,1.90%,N/A,11/29/2017,2/15/2018,3/8/2018,Details,607.99B,"$138,471","$6,576","10,308.00",MSFT
11/15/2017,$0.42,Quarter,2%,+7.7%,9/19/2017,11/16/2017,12/14/2017,Details,559.95B,"$132,981","$8,069","31,378.00",MSFT
8/15/2017,$0.39,Quarter,2.10%,N/A,6/14/2017,8/17/2017,9/14/2017,Details,512.64B,"$126,018","$5,486","22,656.00",MSFT
5/16/2017,$0.39,Quarter,2.20%,N/A,3/14/2017,5/18/2017,6/8/2017,Details,484.83B,"$122,781","$6,267","13,691.00",MSFT
2/14/2017,$0.39,Quarter,2.40%,N/A,11/30/2016,2/16/2017,3/9/2017,Details,446.46B,"$136,932","$5,667","9,386.00",MSFT
11/15/2016,$0.39,Quarter,2.60%,+8.3%,9/20/2016,11/17/2016,12/8/2016,,442.07B,"$113,240","$6,863","24,982.00",MSFT
8/16/2016,$0.36,Quarter,2.50%,N/A,6/15/2016,8/18/2016,9/8/2016,Details,437.43B,"$105,552","$3,756","19,173.00",MSFT
5/17/2016,$0.36,Quarter,2.90%,N/A,3/16/2016,5/19/2016,6/9/2016,Details,413.58B,"$102,640","$5,018","11,114.00",MSFT
2/16/2016,$0.36,Quarter,2.80%,N/A,12/3/2015,2/18/2016,3/10/2016,Details,375.51B,"$99,355","$4,902","7,520.00",MSFT
11/17/2015,$0.36,Quarter,2.70%,+16.1%,9/15/2015,11/19/2015,12/10/2015,Details,362.71B,"$96,526","-$3,195","23,724.00",MSFT
8/18/2015,$0.31,Quarter,2.60%,N/A,6/9/2015,8/20/2015,9/10/2015,Details,341.06B,"$95,438","$4,985","18,656.00",MSFT
5/19/2015,$0.31,Quarter,2.60%,N/A,3/11/2015,5/21/2015,6/11/2015,Details,386.64B,"$90,249","$5,863","9,922.00",MSFT
